,업소명,주소,위도,경도
315,은진미용실,서울특별시 금천구 금하로25길 16,37.4512641,126.9098707
316,짱아헤어샵,서울특별시 금천구 시흥대로126길 22-7,37.4697436,126.9005115
317,포스트푸드,"서울특별시 금천구 디지털로 9길 68,",0.0,0.0
318,카와블러썸,서울특별시 금천구 남부순환로108길 30,37.4782183,126.8924765
319,은행나무갈매기,서울특별시 금천구 금하로 678,37.4531882,126.8969077
320,가영미용실,서울특별시 금천구 시흥대로39길 8,37.4472913,126.90267888972474
321,산들바다 생고기,서울특별시 금천구 금하로 613,37.4531882,126.8969077
322,육합춘짜장짬뽕전문,서울특별시 금천구 시흥대로26길 5,37.441779,126.9038109
323,장수갈비,서울특별시 금천구 시흥대로56길 18,37.4526216,126.9028577
324,풍천장어,서울특별시 금천구 시흥대로52길 70,37.4537596,126.9018601
325,BEST남성전문컷,서울특별시 금천구 가산로 140,37.4767949,126.8921251
326,남자들의 세상,서울특별시 금천구 독산로 45,37.4513889,126.9059786
327,고기굽는마을,서울특별시 금천구 벚꽃로38길 32-29,37.4826656,126.8843867
328,두산이발관,"서울특별시 금천구 가산로 99, 가산위브아파트상가동",0.0,0.0
329,자연화로구이,서울특별시 금천구 시흥대로153길 42,37.4769613,126.8986382
330,다래성,서울특별시 금천구 시흥대로 471-1,37.4772119,126.8986578
331,은혜세탁,"서울특별시 금천구 벚꽃로 73, 현대종합상가",0.0,0.0
332,진미식당,서울특별시 금천구 가산로3길 25,37.4722845,126.8917604
333,박리분식,서울특별시 금천구 가산로 126,37.4767949,126.8921251
334,조여사네집,서울특별시 금천구 벚꽃로 130,37.4655889,126.8899826
335,만세한식부페본점,서울특별시 금천구 가산로3길 77,37.4722845,126.8917604
336,현대세탁,서울특별시 금천구 범안로17길 23,37.4675978,126.8942323
337,참치킹,"서울특별시 금천구 벚꽃로 298, 대륭포스트타워6차",0.0,0.0
338,홍두깨손칼국수,서울특별시 금천구 독산로39길 11,37.4593967,126.9042684
339,진미한분식,서울특별시 금천구 가산로3길 22,37.4722845,126.8917604
340,체리당구클럽,서울특별시 금천구 시흥대로123길 7,37.4723043,126.8949927
341,현대컴퓨터세탁,서울특별시 금천구 벚꽃로56길 40,37.4838184,126.8837296
342,한신세탁,"서울특별시 금천구 한내로 62, 한신(아)상가",0.0,0.0
343,송도세탁,서울특별시 금천구 가산로3길 48,37.4722845,126.8917604
344,가산순대국,서울특별시 금천구 가산로 147-7,37.4767949,126.8921251
345,듬배골,서울특별시 금천구 독산로10길 38,37.4501606,126.908467
346,G7크린랜드,서울특별시 금천구 금하로 29길 14,0.0,0.0
347,고기마을호수,"서울특별시 금천구 벚꽃로 73, 금천현대아파트상가",0.0,0.0
348,금천골 오리명가,서울특별시 금천구 시흥대로78길59,0.0,0.0
349,영화미용실,서울특별시 금천구 독산로44길 15 (시흥동),0.0,0.0
