,품목,단위,가격,이름,주소,구,위도,경도
189,"쇠고기(한우,불고기)",100g(불고기),4140.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
190,돼지고기(생삼겹살),100g(생삼겹살),2100.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
191,닭고기(육계),1마리1kg,6870.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
192,달걀(10개),10개(특란),3980.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
193,달걀(30개),30개(특란),7780.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
194,"조기(냉동,수입산)",1마리(20cm),2080.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
195,"명태(생물,수입산)",1마리(45cm),3590.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
196,"오징어(생물,국산)",1마리(25cm),4940.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
197,"고등어(30cm,수입산)",1마리(30cm),3000.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
198,"사과(부사, 300g)",1개,2380.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
199,"배(신고, 600g)",1개,3225.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
200,배추(2.5~3kg),1포기,7490.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
201,무(1kg),1개,3290.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
202,양파(1.5kg망),1망,4890.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
203,상추(100g),150g,2290.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
204,오이(다다기),1개,1590.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
205,애호박,1개,1590.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
206,"쇠고기(한우,불고기)",100g,6400.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
207,돼지고기(생삼겹살),100g,3990.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
208,닭고기(토종닭),1마리,14900.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
209,달걀(30개),30개,7490.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
210,"조기(국산,냉동)",1마리10cm,1500.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
211,"명태(러시아,냉동)",1마리30cm,4000.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
212,"오징어(생물,국산)",1마리25cm,6850.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
213,"고등어(30cm,수입산)",1마리25cm,3790.0,홈플러스 중계점,서울특별시 노원구 동일로204가길 12,노원구,37.6400057,127.068672
