,STN_NM,위도,경도,주소
3081,미양중고등학교.팔팔·미송경로당,37.62327233391456,127.01306902489762,"미양중.고등학교, 39, 인수봉로, 삼양동, 강북구, 서울, 01190, 대한민국"
3082,동북프라자,37.61992690181387,127.01824728610532,"232, 솔샘로, 삼각산동, 강북구, 서울, 01193, 대한민국"
3083,동북시장,37.61992698781256,127.0189017643006,"동북시장, 솔샘로, 삼양동, 강북구, 서울, 01193, 대한민국"
3084,두산위브아파트입구,37.62004249861015,127.01635970650491,"SK아파트입구, 212, 솔샘로, 삼각산동, 강북구, 서울, 01193, 대한민국"
3085,두산위브아파트입구,37.62011827410801,127.01619192079488,"SK아파트입구, 솔샘로, 삼양동, 강북구, 서울, 01193, 대한민국"
3086,삼각산동SK아파트북한산시티미양초등학교,37.62018472441075,127.01274089330292,"SK아파트 주상가, 솔샘로, 삼각산동, 강북구, 서울, 01192, 대한민국"
3087,삼양동벽산라이브파크미양초등학교,37.62024700051302,127.01289845269883,"미아동벽산라이브파크미양초등학교, 솔샘로31길, 삼양동, 강북구, 서울, 01192, 대한민국"
3088,SK아파트벽산아파트상가,37.619808305611855,127.01113310620092,"SK아파트벽산아파트상가, 솔샘로, 삼각산동, 강북구, 서울, 01192, 대한민국"
3089,SK아파트벽산아파트상가,37.619995357210826,127.01129330089888,"SK아파트벽산아파트상가, 솔샘로, 삼각산동, 강북구, 서울, 01192, 대한민국"
3090,솔샘터널,37.61867720931311,127.00906514549514,"삼각산동, 강북구, 서울, 02713, 대한민국"
3091,번동주공아파트3단지4단지,37.62943482131349,127.04014970640104,"번동주공아파트3단지4단지, 오현로, 번2동, 강북구, 서울, 01224, 대한민국"
3092,번동주공아파트3단지4단지,37.62998993051389,127.04094722269666,"302, 오현로, 번3동, 강북구, 서울, 01224, 대한민국"
3093,번동초등학교,37.62897261651313,127.03979878680047,"번2치안센터, 오현로, 번2동, 강북구, 서울, 01224, 대한민국"
3094,번동한솔솔파크,37.62754900131303,127.03801314980102,"번동한솔솔파크, 오현로, 번3동, 강북구, 서울, 01224, 대한민국"
3095,번동한솔솔파크,37.627496133609256,127.0378721345954,"104, 오현로, 번3동, 강북구, 서울, 01233, 대한민국"
3096,번동해모로아파트,37.62664859521656,127.03698978159656,"번동해모로아파트, 오현로, 번3동, 강북구, 서울, 01233, 대한민국"
3097,번동해모로아파트,37.62688761291593,127.0371402607967,"번동해모로아파트, 오현로, 번2동, 강북구, 서울, 01233, 대한민국"
3098,강북문화정보도서관,37.62507352570811,127.03726738759808,"강북문화정보센타, 오현로, 번3동, 강북구, 서울, 01233, 대한민국"
3099,강북문화정보도서관,37.62590258021492,127.0368186991001,"강북문화정보센타, 오현로, 번2동, 강북구, 서울, 01233, 대한민국"
3100,번동동문아파트,37.62354166680815,127.03768359720029,"번동동문아파트, 오현로, 번3동, 강북구, 서울, 01233, 대한민국"
3101,번동동문아파트,37.62374672661249,127.03753767660068,"번동동문아파트, 오현로, 번2동, 강북구, 서울, 01233, 대한민국"
3102,북서울꿈의숲,37.62258342651608,127.03756677990494,"북서울꿈의숲 후문, 오현로, 번2동, 강북구, 서울, 01233, 대한민국"
3103,꿈의숲롯데캐슬아파트,37.618322461212905,127.03594439910124,"벼랑바위, 오현로, 송중동, 강북구, 서울, 01233, 대한민국"
3104,꿈의숲롯데캐슬아파트,37.61862359850895,127.03604783070392,"벼랑바위, 오현로, 송중동, 강북구, 서울, 01233, 대한민국"
3105,송중동경남아너스빌,37.61656251401415,127.03430040530117,"오현로, 꿈의숲롯데캐슬, 송중동, 강북구, 서울, 01233, 대한민국"
3106,송중동경남아너스빌,37.61659214361352,127.03460571440267,"오현로, 꿈의숲롯데캐슬, 송중동, 강북구, 서울, 01233, 대한민국"
3107,송중초등학교,37.616404795212055,127.03140729270554,"송중초등학교, 오현로, 송중동, 강북구, 서울, 01233, 대한민국"
3108,송중초등학교,37.61644712431264,127.03166055750135,"송중초등학교, 오현로, 송중동, 강북구, 서울, 01233, 대한민국"
3109,수유3동우체국,37.63998508051248,127.02763990569608,"수유3동우체국, 도봉로, 수유동, 강북구, 서울, 01065, 대한민국"
